song,bpm,key,distance
BICEP - Glue (Rialians On Earth Remix  ACOR HT Rework) [MORC014].mp3,150,F#,0.0
ANTIPØDE (Bleu électrique & Desiracid) - C’est Électrique.mp3,155,F#,61.04338828943517
Wick x Jasic - All The Things She Said (Schranz Edit) [MORC009] ~ free dl.mp3,160,D#m,47.96987358036884
"Mika - Relax, Take It Easy (E11 Rave Edit) [FREE DOWNLOAD].mp3",150,D#m,44.07878706544282
Live attack.mp3,156,A#m,83.87241238502196
LÄUFF X HNAS - AP [H33R030].mp3,148,A#m,48.67202333555734
1luu - Oxygenium [T4F].mp3,158,Fm,56.29206974250212
La fee rouge.mp3,157,Fm,22.41342916048352
Thalassophobia.mp3,153,Fm,35.621864529832784
Premiere Azyr - Arya Tara (Original Mix) [IPKTVA001].mp3,144,Fm,34.83862870900225
Keugré - Reaching It [JAH034].mp3,150,Fm,46.03173052040189
MATRAKK - Romantic Dream.mp3,157,Fm,40.01899384180428
SCH - Autobahn (ÆDE Remix - FREE DL).mp3,148,G#,53.03175693879413
Enham - Hai Bian.mp3,145,Fm,59.55539170942001
Freeze Corleone - Jour De Plus (ØKKY Techno edit).mp3,150,Cm,60.715440221295886
Naps - Dreamlife feat. SCH (Just Pedro Techno Remix).mp3,140,Cm,37.79078287995403
DJ Traytex X 1luu - No Signs.mp3,155,Gm,72.74197310583084
ØTTA - LOWKEY TWERK.mp3,152,Gm,49.404936003579586
PREMIERE 1luu - Rubidium (KTAVA003).mp3,160,Gm,39.90357972253698
LÄUFF Ft. Angèle - Attrape-moi (Edit - AI Cover).mp3,160,Gm,51.46591885515728
RAËL - Schmieren [SINDEX018].mp3,155,A#,78.87369271276056
Juice WRLD - Lucid Dreams (Nyctonian Tech Pop Remix)[FREE WAV DOWNLOAD].mp3,160,F,82.07417867689921
Pawlowski - Demonic Dimensions [Oldschool Mix]  Possession exclusivity.mp3,165,C,38.039941107311584
A$AP ROCKY - Praise the Lord (DURDENHAUER Edit) Extended Mix.mp3,148,Am,74.61380633346783
Kaaris ft. Kalash Criminel - Arret Du Coeur (Techno Remix).mp3,145,Dm,59.87989370066865
