song,bpm,energy,key,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,spectral_centroids
ANDUJ - I wanna make you move.mp3,155,0.11845133,G,0.29127574,0.43325898,0.48569748,0.67721254,0.65672964,0.6354049,0.63730925,0.69014525,0.6378873,0.4264817,0.3454095,0.38748586,-79.02054,75.85606,7.178507,30.073217,8.56599,15.744559,8.961919,9.843493,2.8523173,8.561825,2.2290602,6.6104603,2.544697,6.5867014,0.13038197,4.192965,0.3979334,3.396824,-0.28123984,2.0035753,2342.5342967338383
Caravel - Untz Untz.mp3,155,0.14999233,D#,0.3980086,0.5098493,0.41421437,0.7809517,0.7176683,0.64807606,0.47251663,0.5369357,0.68037707,0.3804252,0.32405028,0.39500415,-38.26021,82.878044,17.191412,32.15322,7.855399,18.779182,3.8757997,10.701226,-2.0153651,4.349751,-2.8013296,3.2284791,-2.4588687,3.493604,-2.144038,3.832679,-0.7722192,4.272441,-2.896265,3.4766529,2328.7923400529435
Charli xcx - Guess ft. Billie Eilish (Stretch's Hard Flip) [FREE DOWNLOAD].mp3,157,0.17588916,G#m,0.5459431,0.45066246,0.3855135,0.3267753,0.3392055,0.45860076,0.61738104,0.52995694,0.5910722,0.47145796,0.55381155,0.8910438,19.69132,42.399307,12.307101,25.090021,5.670189,17.5742,13.31372,12.150465,1.5222453,6.4983125,3.7164855,5.9837217,-1.2583641,1.0425948,-5.035834,1.0688,-3.5175138,1.9182999,-2.6131203,1.1555969,3507.5677253045424
CHIHIRO - KALTWEISS REMIX (FREE DL).mp3,160,0.18755043,Bm,0.5370528,0.42921358,0.70827717,0.51664823,0.3554762,0.43906575,0.3603331,0.4209006,0.32955942,0.550974,0.56253326,0.6652753,-71.88074,105.36487,-6.4193664,9.616605,-9.065505,16.54353,-8.981883,-7.3584228,-9.646296,-6.243763,-8.638692,-3.7401488,-4.052787,-5.095874,-6.8817306,-1.3581438,-6.008265,0.20602909,-4.798747,-1.8600808,1705.8554732391021
Dance With Me - SENTIENT (FREE DL).mp3,160,0.1294158,C#m,0.56864303,0.68702096,0.77441937,0.65530384,0.865451,0.8010894,0.5421437,0.7282302,0.52887857,0.69859874,0.7693946,0.78261334,-53.712227,86.43734,23.185339,18.786436,13.430054,17.833464,6.3691773,11.21304,4.330805,7.533682,2.2790618,8.042012,3.074321,4.9530168,0.53533113,2.4857216,-1.9574145,2.6364195,-1.3960743,2.0215838,2357.3489993242106
DOCTOR DE LA NOCHE — HOT GIRLS LISTEN TO TECHNO.mp3,150,0.14189732,A,0.48979566,0.49274692,0.37582693,0.38051975,0.4950884,0.34921637,0.39112887,0.474069,0.62032664,0.8690805,0.5432977,0.5006286,-68.245705,59.532837,18.440624,25.30681,6.8737254,18.53258,6.9184813,13.201177,6.714459,9.939622,5.6052194,4.6142387,-2.4054692,4.2919183,0.17539874,2.552531,-1.6351402,1.4598259,-1.4760852,1.7154359,2828.85496886523
Fallin' in Love.mp3,153,0.15088892,D#m,0.3718535,0.5403869,0.4559229,0.29984623,0.4807979,0.7171913,0.8642636,0.6522623,0.66213596,0.5508888,0.42323646,0.3556453,-22.401878,66.65682,12.424899,22.213758,7.987545,13.783261,4.5008802,7.3715725,2.381535,9.584841,0.60116273,1.5338924,-3.0994163,5.4348,2.2936947,6.892115,0.5947384,3.51744,-1.4752734,0.19855732,2770.4071497436985
Frankyeffe - Touch Me (Caravel Remix).mp3,155,0.117565565,D,0.51512563,0.6531735,0.7704208,0.62347764,0.46443287,0.4700473,0.48719057,0.3216995,0.38669133,0.5426626,0.6958764,0.603691,-37.393627,70.63813,-2.1571772,22.640263,10.744328,17.51679,6.250116,9.563429,1.3639061,6.3005133,-3.6785312,1.9643306,-0.3547636,2.2259498,0.5639726,1.0304437,-5.679158,-0.57769495,-2.6493945,2.082372,2594.581152974969
Free DL � KE�TR - La Classe (Jul Le Sang Edit) [KT001].mp3,155,0.12334665,G,0.48385322,0.5277939,0.61135375,0.40457755,0.36324477,0.47791412,0.5959159,0.91591954,0.4920197,0.37739387,0.40978584,0.42418236,-21.999119,84.50202,13.228335,31.340302,4.277683,15.00735,1.1350335,9.379038,-1.0986252,7.892071,-1.2486274,-1.3565464,-3.4858916,1.0483426,-0.82927215,2.8171735,1.6549486,3.712224,-1.0929211,3.4047806,2519.1032384763625
Love Game (Black Traffic Remix).mp3,154,0.09969829,B,0.63737804,0.48510644,0.40807834,0.471307,0.3650966,0.5438461,0.71958107,0.7159588,0.57508314,0.535468,0.6074236,0.85676014,-94.34749,77.08481,26.824825,25.936657,13.154126,13.786777,4.9558954,9.535565,4.801769,6.350409,-2.075596,2.6832187,-1.2403983,-0.68946743,-4.12899,1.0125954,-2.526263,1.7230065,-1.5166575,-0.22794749,2361.7362136547895
